"","guid","data_level","data_industry","data_function"
"23456","dXIOWn1q3p","Individual Contributor","Communications","Human Resources"
"23457","fI8ZSae2QY","Supervisor","Communications","Sales"
"23458","2laJn7v5KY","Individual Contributor","Retail","Administrative Services"
"23459","SwnvIM48C6","Individual Contributor","Healthcare","Operations"
"23460","3Z4PW7HeQj","Individual Contributor","Consumer Goods","Administrative Services"
"23461","7mTQBMsyzZ","Individual Contributor","Consumer Goods","Administrative Services"
"23462","luxwZnq6oP","Individual Contributor","Healthcare","Marketing"
"23463","sjN92UPinR","Functional Leader","Financial Services","Sales"
"23464","JsE8oj62vb","Individual Contributor","Financial Services","General Management"
"23465","sxKzkhN4eR","Individual Contributor","Consumer Goods","Sales"
"23466","ns9lx8Tjgo","Individual Contributor","Communications","General Management"
"23467","XYrx1LHWwZ","Supervisor","Government","Marketing"
"23468","cgiKMGfdIW","Individual Contributor","Consumer Goods","Human Resources"
"23469","PHJhq93sMy","Individual Contributor","Retail","Legal"
"23470","EQlb7fkinX","Functional Leader","Government","Administrative Services"
"23471","X43YRSIfNb","Individual Contributor","Financial Services","Sales"
"23472","aMLPzlOGUf","Individual Contributor","Advanced Technology","Administrative Services"
"23473","DgkIBsvK24","Individual Contributor","Financial Services","Human Resources"
"23474","5K6pJIVPXY","Supervisor","Communications","Legal"
"23475","YNzifSLrup","Individual Contributor","Retail","Operations"
"23476","nxPfSeRC8c","Individual Contributor","Healthcare","Sales"
"23477","i9Ut7xLVcS","Mid-level Manager","Financial Services","Legal"
"23478","IoytM9D7ux","Individual Contributor","Government","Administrative Services"
"23479","PZKrOh85Su","Supervisor","Financial Services","Operations"
"23480","Kvs3O1WCQ6","Supervisor","Retail","Sales"
"23481","yAerPxTG6g","Individual Contributor","Consumer Goods","Human Resources"
"23482","McTR8XFHV2","Individual Contributor","Communications","Marketing"
"23483","XzZMuIjHV1","Individual Contributor","Communications","Human Resources"
"23484","h3F8nvT529","Mid-level Manager","Retail","Operations"
"23485","GDVb6tnxRg","Individual Contributor","Healthcare","General Management"
"23486","CMqac5JXxR","Individual Contributor","Communications","Sales"
"23487","xVjRKbrYlX","Individual Contributor","Advanced Technology","Marketing"
"23488","ckqhBd3lty","Individual Contributor","Government","General Management"
"23489","23iWHEIBUT","Individual Contributor","Advanced Technology","General Management"
"23490","3d4q9pYTgW","Individual Contributor","Healthcare","Legal"
"23491","cy63OFIfps","Individual Contributor","Financial Services","Sales"
"23492","ditwB8lNAr","Individual Contributor","Government","Human Resources"
"23493","wCgoOabdVJ","Individual Contributor","Healthcare","Legal"
"23494","w8zIGDnAko","Supervisor","Advanced Technology","Administrative Services"
"23495","2twFj3BTOa","Individual Contributor","Government","Human Resources"
"23496","vQKgG4cotP","Individual Contributor","Government","Legal"
"23497","hjq5Fb4tKH","Individual Contributor","Government","Human Resources"
"23498","ZnzsKL4EJb","Supervisor","Financial Services","Human Resources"
"23499","5OfezE3TAj","Individual Contributor","Consumer Goods","Human Resources"
"23500","i9vlcQ5Fxf","Individual Contributor","Advanced Technology","Human Resources"
"23501","YAl1DuVeBM","Functional Leader","Advanced Technology","Legal"
"23502","OIj5JXRD74","Functional Leader","Advanced Technology","Sales"
"23503","UWVTr1Jyhn","Individual Contributor","Healthcare","Marketing"
"23504","lTwq4BzrPe","Individual Contributor","Government","Human Resources"
"23505","fOzRZYkAse","Individual Contributor","Consumer Goods","Sales"
